INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
0;01.12.2019 0:00:00;1;0;87719;88784;89660;91202
1;01.12.2019 0:00:00;1;0;86556;87177;88573;89874
2;01.12.2019 0:00:00;1;0;85543;86043;88360;88992
3;01.12.2019 0:00:00;1;0;85387;86265;88415;89209
4;01.12.2019 0:00:00;1;0;86142;86867;89259;89771
5;01.12.2019 0:00:00;1;0;87521;88566;91015;91497
6;01.12.2019 0:00:00;1;0;90086;90949;92864;93435
7;01.12.2019 0:00:00;1;0;92551;93583;95230;96260
8;01.12.2019 0:00:00;1;0;95435;96566;98559;98913
9;01.12.2019 0:00:00;1;0;97990;98642;100638;101131
10;01.12.2019 0:00:00;1;0;99056;99090;101763;101826
11;01.12.2019 0:00:00;1;0;98991;99317;101875;102121
12;01.12.2019 0:00:00;1;0;99147;99242;101406;102109
13;01.12.2019 0:00:00;1;0;99253;99600;102398;102471
14;01.12.2019 0:00:00;1;0;99911;100183;102758;102977
15;01.12.2019 0:00:00;1;0;101773;102207;105700;104943
16;01.12.2019 0:00:00;1;0;104627;105351;108006;108134
17;01.12.2019 0:00:00;1;0;104768;105222;108297;108054
18;01.12.2019 0:00:00;1;0;103758;104465;107079;107321
19;01.12.2019 0:00:00;1;0;101870;102472;105096;105246
20;01.12.2019 0:00:00;1;0;99866;100525;102397;102941
21;01.12.2019 0:00:00;1;0;96997;97428;99579;99589
22;01.12.2019 0:00:00;1;0;92868;93579;95884;96770
23;01.12.2019 0:00:00;1;0;89737;90592;92758;93418
0;02.12.2019 0:00:00;1;0;87422;88183;90519;91267
1;02.12.2019 0:00:00;1;0;86342;86897;89310;90092
2;02.12.2019 0:00:00;1;0;85734;86181;88867;89531
3;02.12.2019 0:00:00;1;0;86547;86911;89762;90189
4;02.12.2019 0:00:00;1;0;88792;89011;92077;92206
5;02.12.2019 0:00:00;1;0;93239;93690;95939;95745
6;02.12.2019 0:00:00;1;0;99075;99881;100511;101254
7;02.12.2019 0:00:00;1;0;103241;104356;103137;104345
8;02.12.2019 0:00:00;1;0;106120;107489;106346;107535
9;02.12.2019 0:00:00;1;0;107354;108899;107983;109179
10;02.12.2019 0:00:00;1;0;106605;107975;107028;108244
11;02.12.2019 0:00:00;1;0;106526;106819;106955;107088
12;02.12.2019 0:00:00;1;0;106348;106109;108868;108154
13;02.12.2019 0:00:00;1;0;106475;107075;108746;109180
14;02.12.2019 0:00:00;1;0;106749;107599;107498;107921
15;02.12.2019 0:00:00;1;0;107977;108713;108396;108920
16;02.12.2019 0:00:00;1;0;108979;110125;109749;110344
17;02.12.2019 0:00:00;1;0;108529;109748;108796;109984
18;02.12.2019 0:00:00;1;0;107617;108178;107772;108197
19;02.12.2019 0:00:00;1;0;105397;105971;105638;105891
20;02.12.2019 0:00:00;1;0;103127;103761;103274;103621
21;02.12.2019 0:00:00;1;0;99591;100144;101708;101738
22;02.12.2019 0:00:00;1;0;95368;95477;97671;97304
23;02.12.2019 0:00:00;1;0;91735;91905;93491;93555
0;03.12.2019 0:00:00;1;0;89518;89446;92176;92274
1;03.12.2019 0:00:00;1;0;88344;88282;91580;91234
2;03.12.2019 0:00:00;1;0;88121;88060;91356;91084
3;03.12.2019 0:00:00;1;0;89005;88926;92364;91774
4;03.12.2019 0:00:00;1;0;90788;91569;94678;94323
5;03.12.2019 0:00:00;1;0;95194;95857;98237;98114
6;03.12.2019 0:00:00;1;0;100678;101304;103668;103337
7;03.12.2019 0:00:00;1;0;104264;105346;106014;105768
8;03.12.2019 0:00:00;1;0;107406;108337;108639;108797
9;03.12.2019 0:00:00;1;0;107852;109227;108762;109666
10;03.12.2019 0:00:00;1;0;107351;108440;108229;108882
11;03.12.2019 0:00:00;1;0;106537;107196;107628;107759
12;03.12.2019 0:00:00;1;0;106562;107251;109420;109622
13;03.12.2019 0:00:00;1;0;106524;106987;109838;109574
14;03.12.2019 0:00:00;1;0;106738;107362;107688;108082
15;03.12.2019 0:00:00;1;0;108223;108487;109586;108923
16;03.12.2019 0:00:00;1;0;109283;109940;110607;110396
17;03.12.2019 0:00:00;1;0;108410;109460;108927;109866
18;03.12.2019 0:00:00;1;0;107392;108456;108782;108592
19;03.12.2019 0:00:00;1;0;105576;106336;105978;106535
20;03.12.2019 0:00:00;1;0;103457;103433;103649;103793
21;03.12.2019 0:00:00;1;0;99577;100294;101985;102122
22;03.12.2019 0:00:00;1;0;95770;96146;97599;98116
23;03.12.2019 0:00:00;1;0;91910;92361;94150;94200
0;04.12.2019 0:00:00;1;0;89574;90226;92061;92606
1;04.12.2019 0:00:00;1;0;88863;88875;91323;91419
2;04.12.2019 0:00:00;1;0;88263;88533;91269;91375
3;04.12.2019 0:00:00;1;0;88713;89212;92179;92004
4;04.12.2019 0:00:00;1;0;91044;91426;94477;94102
5;04.12.2019 0:00:00;1;0;94981;95480;98230;98061
6;04.12.2019 0:00:00;1;0;100928;101235;103396;103631
7;04.12.2019 0:00:00;1;0;104679;105439;106640;106028
8;04.12.2019 0:00:00;1;0;107695;108345;109730;108816
9;04.12.2019 0:00:00;1;0;108196;108902;108995;109441
10;04.12.2019 0:00:00;1;0;107139;108404;108406;108884
11;04.12.2019 0:00:00;1;0;106757;107657;108051;108266
12;04.12.2019 0:00:00;1;0;107033;107376;109581;110009
13;04.12.2019 0:00:00;1;0;107445;107426;110496;110161
14;04.12.2019 0:00:00;1;0;107970;107823;109450;108743
15;04.12.2019 0:00:00;1;0;108715;109434;109732;110000
16;04.12.2019 0:00:00;1;0;110125;110519;111132;111310
17;04.12.2019 0:00:00;1;0;109573;110131;110367;110712
18;04.12.2019 0:00:00;1;0;108510;108951;109262;109414
19;04.12.2019 0:00:00;1;0;106019;106790;106314;107422
20;04.12.2019 0:00:00;1;0;104020;104602;105341;105285
21;04.12.2019 0:00:00;1;0;100435;100849;102550;103303
22;04.12.2019 0:00:00;1;0;96239;96420;99478;99058
23;04.12.2019 0:00:00;1;0;92433;92704;94879;95271
0;05.12.2019 0:00:00;1;0;89481;90027;91127;91787
1;05.12.2019 0:00:00;1;0;88424;88827;90261;90521
2;05.12.2019 0:00:00;1;0;88137;88554;90098;90436
3;05.12.2019 0:00:00;1;0;88718;89069;90791;90865
4;05.12.2019 0:00:00;1;0;90596;91174;93480;93578
5;05.12.2019 0:00:00;1;0;94595;95486;98319;97737
6;05.12.2019 0:00:00;1;0;100177;101171;102494;102919
7;05.12.2019 0:00:00;1;0;104106;104977;105045;105005
8;05.12.2019 0:00:00;1;0;106668;107838;107601;107844
9;05.12.2019 0:00:00;1;0;106695;108579;107578;108660
10;05.12.2019 0:00:00;1;0;106555;107472;107942;107581
11;05.12.2019 0:00:00;1;0;105671;106019;106811;106070
12;05.12.2019 0:00:00;1;0;105757;106430;108083;108099
13;05.12.2019 0:00:00;1;0;105934;106594;107686;108151
14;05.12.2019 0:00:00;1;0;106252;106851;106919;107099
15;05.12.2019 0:00:00;1;0;107530;108097;107656;108329
16;05.12.2019 0:00:00;1;0;108511;109382;108703;109628
17;05.12.2019 0:00:00;1;0;108048;109044;108357;109193
18;05.12.2019 0:00:00;1;0;107124;107625;107530;107758
19;05.12.2019 0:00:00;1;0;104752;105633;104554;105564
20;05.12.2019 0:00:00;1;0;102698;103391;103076;103209
21;05.12.2019 0:00:00;1;0;99280;99959;100522;101244
22;05.12.2019 0:00:00;1;0;94875;95305;96423;96608
23;05.12.2019 0:00:00;1;0;91746;91649;92589;92823
0;06.12.2019 0:00:00;1;0;89891;89439;91460;91760
1;06.12.2019 0:00:00;1;0;88291;88237;90019;90871
2;06.12.2019 0:00:00;1;0;87682;88323;90657;90982
3;06.12.2019 0:00:00;1;0;88178;88654;91064;91293
4;06.12.2019 0:00:00;1;0;90160;90685;93068;93164
5;06.12.2019 0:00:00;1;0;94587;94873;97237;96761
6;06.12.2019 0:00:00;1;0;100253;100323;102396;101895
7;06.12.2019 0:00:00;1;0;103914;104271;104705;104505
8;06.12.2019 0:00:00;1;0;106826;107546;107729;107681
9;06.12.2019 0:00:00;1;0;107238;108271;108017;108490
10;06.12.2019 0:00:00;1;0;106350;107144;106962;107425
11;06.12.2019 0:00:00;1;0;106077;106318;106462;106696
12;06.12.2019 0:00:00;1;0;105862;106044;108980;108057
13;06.12.2019 0:00:00;1;0;105563;106216;107436;108302
14;06.12.2019 0:00:00;1;0;105898;106434;106164;107055
15;06.12.2019 0:00:00;1;0;106464;107130;106893;107537
16;06.12.2019 0:00:00;1;0;108129;108444;108437;108815
17;06.12.2019 0:00:00;1;0;107784;108348;108831;108882
18;06.12.2019 0:00:00;1;0;106418;107140;107105;107566
19;06.12.2019 0:00:00;1;0;104450;105002;105048;105286
20;06.12.2019 0:00:00;1;0;102494;102613;102647;102897
21;06.12.2019 0:00:00;1;0;99382;99618;101651;101431
22;06.12.2019 0:00:00;1;0;95456;95810;98014;98181
23;06.12.2019 0:00:00;1;0;92167;92065;95298;95186
0;07.12.2019 0:00:00;1;0;89899;89704;92342;92360
1;07.12.2019 0:00:00;1;0;87677;88122;90923;90822
2;07.12.2019 0:00:00;1;0;86807;88217;90004;91095
3;07.12.2019 0:00:00;1;0;87247;87633;90324;90652
4;07.12.2019 0:00:00;1;0;87649;88592;90991;91500
5;07.12.2019 0:00:00;1;0;89932;90593;93477;93480
6;07.12.2019 0:00:00;1;0;93312;93366;96100;96337
7;07.12.2019 0:00:00;1;0;95845;96374;99127;99198
8;07.12.2019 0:00:00;1;0;98971;100049;102687;102957
9;07.12.2019 0:00:00;1;0;101315;102024;103894;104948
10;07.12.2019 0:00:00;1;0;101658;102507;105842;105440
11;07.12.2019 0:00:00;1;0;101283;101966;104249;104833
12;07.12.2019 0:00:00;1;0;100792;101667;105111;104681
13;07.12.2019 0:00:00;1;0;101012;101732;104621;104785
14;07.12.2019 0:00:00;1;0;101117;101918;105244;104955
15;07.12.2019 0:00:00;1;0;103204;103290;107600;106173
16;07.12.2019 0:00:00;1;0;105096;105225;108551;107847
17;07.12.2019 0:00:00;1;0;104522;105572;108041;108349
18;07.12.2019 0:00:00;1;0;103404;104393;107189;107103
19;07.12.2019 0:00:00;1;0;101937;102249;105401;104928
20;07.12.2019 0:00:00;1;0;99688;100333;103205;103158
21;07.12.2019 0:00:00;1;0;97484;97559;100361;100339
22;07.12.2019 0:00:00;1;0;94226;93854;96989;96904
23;07.12.2019 0:00:00;1;0;90834;90943;94528;94237
0;08.12.2019 0:00:00;1;0;88931;89131;91403;91630
1;08.12.2019 0:00:00;1;0;87067;87462;90023;90190
2;08.12.2019 0:00:00;1;0;86060;86736;88529;89492
3;08.12.2019 0:00:00;1;0;86037;86624;89244;89527
4;08.12.2019 0:00:00;1;0;86127;87141;89563;90122
5;08.12.2019 0:00:00;1;0;88173;89172;91699;92120
6;08.12.2019 0:00:00;1;0;90728;91266;93749;94262
7;08.12.2019 0:00:00;1;0;92698;93424;95725;96174
8;08.12.2019 0:00:00;1;0;95895;96591;99338;99461
9;08.12.2019 0:00:00;1;0;98513;98848;102242;101768
10;08.12.2019 0:00:00;1;0;99279;99501;102945;102490
11;08.12.2019 0:00:00;1;0;99475;99640;103005;102129
12;08.12.2019 0:00:00;1;0;99500;99607;102925;102226
13;08.12.2019 0:00:00;1;0;100017;100005;103786;103067
14;08.12.2019 0:00:00;1;0;100427;100804;104299;103879
15;08.12.2019 0:00:00;1;0;101777;102826;105944;105560
16;08.12.2019 0:00:00;1;0;104198;105340;107890;107992
17;08.12.2019 0:00:00;1;0;104152;105120;107685;108129
18;08.12.2019 0:00:00;1;0;103206;104048;107073;106464
19;08.12.2019 0:00:00;1;0;101362;102262;104178;104449
20;08.12.2019 0:00:00;1;0;99776;100366;102631;102476
21;08.12.2019 0:00:00;1;0;96614;97384;99243;99418
22;08.12.2019 0:00:00;1;0;92523;93357;94868;95539
23;08.12.2019 0:00:00;1;0;89364;90408;91729;92525
0;09.12.2019 0:00:00;1;0;87262;88274;90279;91370
1;09.12.2019 0:00:00;1;0;85766;86918;88879;90098
2;09.12.2019 0:00:00;1;0;85319;86071;88181;88515
3;09.12.2019 0:00:00;1;0;85649;86455;89025;88988
4;09.12.2019 0:00:00;1;0;87955;88695;90832;90858
5;09.12.2019 0:00:00;1;0;92350;92930;94707;94627
6;09.12.2019 0:00:00;1;0;98227;98680;100120;99829
7;09.12.2019 0:00:00;1;0;102542;102754;103492;103167
8;09.12.2019 0:00:00;1;0;105318;105794;106388;106683
9;09.12.2019 0:00:00;1;0;105963;106617;107376;107577
10;09.12.2019 0:00:00;1;0;105504;106148;107238;107128
11;09.12.2019 0:00:00;1;0;104625;105365;106016;105969
12;09.12.2019 0:00:00;1;0;104755;105165;107590;107643
13;09.12.2019 0:00:00;1;0;105236;104962;107841;107582
14;09.12.2019 0:00:00;1;0;105798;105587;106740;106599
15;09.12.2019 0:00:00;1;0;106003;106880;107227;107488
16;09.12.2019 0:00:00;1;0;107252;108583;108362;109082
17;09.12.2019 0:00:00;1;0;106820;107703;108202;108398
18;09.12.2019 0:00:00;1;0;105833;105985;107045;106491
19;09.12.2019 0:00:00;1;0;103466;104117;104133;104443
20;09.12.2019 0:00:00;1;0;101502;101975;101906;102067
21;09.12.2019 0:00:00;1;0;98062;98715;100407;100402
22;09.12.2019 0:00:00;1;0;93648;94353;96477;96600
23;09.12.2019 0:00:00;1;0;89983;90571;91879;92505
0;10.12.2019 0:00:00;1;0;87720;88646;91058;91381
1;10.12.2019 0:00:00;1;0;86648;86952;89640;89954
2;10.12.2019 0:00:00;1;0;85824;86373;89866;89952
3;10.12.2019 0:00:00;1;0;86319;87015;90589;90423
4;10.12.2019 0:00:00;1;0;88377;89031;92649;92119
5;10.12.2019 0:00:00;1;0;92673;93102;96668;95985
6;10.12.2019 0:00:00;1;0;98324;98725;100917;100920
7;10.12.2019 0:00:00;1;0;102244;102801;103437;103305
8;10.12.2019 0:00:00;1;0;104778;105766;106645;106639
9;10.12.2019 0:00:00;1;0;105622;106450;107296;107389
10;10.12.2019 0:00:00;1;0;104876;105851;106840;106806
11;10.12.2019 0:00:00;1;0;104537;104827;106532;105636
12;10.12.2019 0:00:00;1;0;104471;104573;108545;107230
13;10.12.2019 0:00:00;1;0;104781;104870;107490;107312
14;10.12.2019 0:00:00;1;0;105219;105225;107155;106113
15;10.12.2019 0:00:00;1;0;106474;106563;107785;107080
16;10.12.2019 0:00:00;1;0;107145;108025;108494;108802
17;10.12.2019 0:00:00;1;0;106266;107773;108109;108753
18;10.12.2019 0:00:00;1;0;105388;106497;106686;107241
19;10.12.2019 0:00:00;1;0;104142;104088;105166;104885
20;10.12.2019 0:00:00;1;0;101499;101987;102841;102723
21;10.12.2019 0:00:00;1;0;98503;98363;101945;100912
22;10.12.2019 0:00:00;1;0;94214;94742;97204;97365
23;10.12.2019 0:00:00;1;0;90774;90954;93210;93880
0;11.12.2019 0:00:00;1;0;88298;88828;90937;91467
1;11.12.2019 0:00:00;1;0;86784;87693;89417;90315
2;11.12.2019 0:00:00;1;0;86252;86790;89506;90049
3;11.12.2019 0:00:00;1;0;86687;86946;90396;90237
4;11.12.2019 0:00:00;1;0;89030;89301;92607;92339
5;11.12.2019 0:00:00;1;0;92956;93594;96875;96402
6;11.12.2019 0:00:00;1;0;98977;99457;100638;101414
7;11.12.2019 0:00:00;1;0;102534;103508;104028;104055
8;11.12.2019 0:00:00;1;0;105015;106317;106504;107105
9;11.12.2019 0:00:00;1;0;105638;106870;106586;107716
10;11.12.2019 0:00:00;1;0;105621;106253;107013;107117
11;11.12.2019 0:00:00;1;0;104852;105112;106845;105919
12;11.12.2019 0:00:00;1;0;104786;105294;107898;107718
13;11.12.2019 0:00:00;1;0;104961;105637;107276;107890
14;11.12.2019 0:00:00;1;0;105359;105920;106364;106589
15;11.12.2019 0:00:00;1;0;106063;106967;106915;107363
16;11.12.2019 0:00:00;1;0;107398;108260;108440;108904
17;11.12.2019 0:00:00;1;0;106751;107758;107969;108740
18;11.12.2019 0:00:00;1;0;105952;106910;107058;107599
19;11.12.2019 0:00:00;1;0;103977;104672;105029;105498
20;11.12.2019 0:00:00;1;0;101924;102396;102890;103262
21;11.12.2019 0:00:00;1;0;99214;99145;101516;101676
22;11.12.2019 0:00:00;1;0;94617;95002;97577;97721
23;11.12.2019 0:00:00;1;0;91362;91569;94111;94524
0;12.12.2019 0:00:00;1;0;88848;89075;91086;91851
1;12.12.2019 0:00:00;1;0;87670;87913;90511;90964
2;12.12.2019 0:00:00;1;0;86649;87337;90003;90832
3;12.12.2019 0:00:00;1;0;87128;88036;90888;91361
4;12.12.2019 0:00:00;1;0;89520;90188;93565;93222
5;12.12.2019 0:00:00;1;0;93522;94298;97390;97245
6;12.12.2019 0:00:00;1;0;98959;100100;101644;102587
7;12.12.2019 0:00:00;1;0;102638;103847;104242;104635
8;12.12.2019 0:00:00;1;0;106138;106444;107730;107514
9;12.12.2019 0:00:00;1;0;106718;107036;108215;108205
10;12.12.2019 0:00:00;1;0;105827;106665;107417;107761
11;12.12.2019 0:00:00;1;0;105552;105891;107639;106830
12;12.12.2019 0:00:00;1;0;105209;106015;108428;108575
13;12.12.2019 0:00:00;1;0;105814;106458;108158;108931
14;12.12.2019 0:00:00;1;0;106154;106657;107673;107509
15;12.12.2019 0:00:00;1;0;107328;107917;108361;108447
16;12.12.2019 0:00:00;1;0;108308;108835;109546;109758
17;12.12.2019 0:00:00;1;0;107455;108466;108885;109570
18;12.12.2019 0:00:00;1;0;106526;107564;107691;108416
19;12.12.2019 0:00:00;1;0;104513;105341;105291;106155
20;12.12.2019 0:00:00;1;0;102771;103241;104233;104080
21;12.12.2019 0:00:00;1;0;99451;100094;102016;102649
22;12.12.2019 0:00:00;1;0;95204;95793;97950;98541
23;12.12.2019 0:00:00;1;0;91809;91989;94279;94656
0;13.12.2019 0:00:00;1;0;89218;89580;91646;92333
1;13.12.2019 0:00:00;1;0;87739;88050;90966;91166
2;13.12.2019 0:00:00;1;0;87715;87336;90995;90915
3;13.12.2019 0:00:00;1;0;88283;88171;91768;91486
4;13.12.2019 0:00:00;1;0;90382;90646;93794;93476
5;13.12.2019 0:00:00;1;0;94531;94858;97974;97434
6;13.12.2019 0:00:00;1;0;100525;100591;102860;102695
7;13.12.2019 0:00:00;1;0;103983;104512;104349;105111
8;13.12.2019 0:00:00;1;0;107458;107447;108592;108007
9;13.12.2019 0:00:00;1;0;107900;108164;109103;108835
10;13.12.2019 0:00:00;1;0;107349;107690;108590;108361
11;13.12.2019 0:00:00;1;0;106950;107143;108240;107868
12;13.12.2019 0:00:00;1;0;106947;107098;110594;109700
13;13.12.2019 0:00:00;1;0;106638;107301;109517;109803
14;13.12.2019 0:00:00;1;0;106947;107636;107978;108256
15;13.12.2019 0:00:00;1;0;108390;108541;109378;108916
16;13.12.2019 0:00:00;1;0;109112;109301;110692;109932
17;13.12.2019 0:00:00;1;0;108475;109102;110049;109905
18;13.12.2019 0:00:00;1;0;106767;107792;108072;108299
19;13.12.2019 0:00:00;1;0;105047;105841;105931;106458
20;13.12.2019 0:00:00;1;0;102955;103567;104008;104096
21;13.12.2019 0:00:00;1;0;100661;100676;103668;102954
22;13.12.2019 0:00:00;1;0;96704;96474;100182;99479
23;13.12.2019 0:00:00;1;0;93021;93019;96044;96183
0;14.12.2019 0:00:00;1;0;90713;90477;94073;93606
1;14.12.2019 0:00:00;1;0;89070;89172;91825;91967
2;14.12.2019 0:00:00;1;0;88381;88753;91686;91763
3;14.12.2019 0:00:00;1;0;88440;88839;91554;91860
4;14.12.2019 0:00:00;1;0;89416;89817;93623;92876
5;14.12.2019 0:00:00;1;0;91235;92024;95100;95316
6;14.12.2019 0:00:00;1;0;94715;95232;98646;98166
7;14.12.2019 0:00:00;1;0;98010;98219;101999;101057
8;14.12.2019 0:00:00;1;0;101305;101480;105329;104205
9;14.12.2019 0:00:00;1;0;103013;103318;106781;106085
10;14.12.2019 0:00:00;1;0;103309;104039;106882;106856
11;14.12.2019 0:00:00;1;0;102968;103522;106639;106391
12;14.12.2019 0:00:00;1;0;102745;103336;106718;106201
13;14.12.2019 0:00:00;1;0;103126;102973;106634;105967
14;14.12.2019 0:00:00;1;0;103750;103533;107121;106384
15;14.12.2019 0:00:00;1;0;105459;105715;108730;108305
16;14.12.2019 0:00:00;1;0;107075;107208;111278;110250
17;14.12.2019 0:00:00;1;0;106268;107048;109592;110037
18;14.12.2019 0:00:00;1;0;104681;105782;108576;108897
19;14.12.2019 0:00:00;1;0;102888;103721;106095;106830
20;14.12.2019 0:00:00;1;0;101552;101622;105148;104768
21;14.12.2019 0:00:00;1;0;98439;98923;101736;102369
22;14.12.2019 0:00:00;1;0;95486;95725;98865;99120
23;14.12.2019 0:00:00;1;0;92280;92270;95637;95664
0;15.12.2019 0:00:00;1;0;89872;90218;92680;93362
1;15.12.2019 0:00:00;1;0;88008;88777;91339;91997
2;15.12.2019 0:00:00;1;0;87115;87716;90167;90313
3;15.12.2019 0:00:00;1;0;87302;87600;90067;90331
4;15.12.2019 0:00:00;1;0;87611;88404;90879;90858
5;15.12.2019 0:00:00;1;0;89434;90130;92271;92204
6;15.12.2019 0:00:00;1;0;92142;92547;94963;94360
7;15.12.2019 0:00:00;1;0;94406;95025;97390;97614
8;15.12.2019 0:00:00;1;0;97365;97743;100877;100604
9;15.12.2019 0:00:00;1;0;99786;99818;102699;102436
10;15.12.2019 0:00:00;1;0;100392;100889;103655;103517
11;15.12.2019 0:00:00;1;0;101046;100918;103586;103488
12;15.12.2019 0:00:00;1;0;100729;100816;104103;103402
13;15.12.2019 0:00:00;1;0;101076;101226;104323;104059
14;15.12.2019 0:00:00;1;0;101897;102299;105308;104814
15;15.12.2019 0:00:00;1;0;103927;104264;107172;106538
16;15.12.2019 0:00:00;1;0;105348;106418;108600;108760
17;15.12.2019 0:00:00;1;0;105502;106323;108429;108590
18;15.12.2019 0:00:00;1;0;104480;105117;107597;107488
19;15.12.2019 0:00:00;1;0;102719;103424;105682;105554
20;15.12.2019 0:00:00;1;0;100833;101273;103828;103431
21;15.12.2019 0:00:00;1;0;97939;98491;101226;100904
22;15.12.2019 0:00:00;1;0;94128;94589;96551;97237
23;15.12.2019 0:00:00;1;0;90578;91450;93447;93863
0;16.12.2019 0:00:00;1;0;88431;89324;91206;92184
1;16.12.2019 0:00:00;1;0;87026;87615;90513;90817
2;16.12.2019 0:00:00;1;0;86402;86841;89632;90154
3;16.12.2019 0:00:00;1;0;87103;87360;90272;90643
4;16.12.2019 0:00:00;1;0;89424;89524;92873;92655
5;16.12.2019 0:00:00;1;0;93387;94041;97087;96449
6;16.12.2019 0:00:00;1;0;99170;100237;101207;101989
7;16.12.2019 0:00:00;1;0;103872;104424;105362;104589
8;16.12.2019 0:00:00;1;0;106521;107130;106851;107255
9;16.12.2019 0:00:00;1;0;107134;107901;108110;108081
10;16.12.2019 0:00:00;1;0;106489;107514;107697;107710
11;16.12.2019 0:00:00;1;0;105943;106373;106661;106663
12;16.12.2019 0:00:00;1;0;106039;106320;108766;108637
13;16.12.2019 0:00:00;1;0;106613;106626;108790;108977
14;16.12.2019 0:00:00;1;0;106612;107125;107488;107654
15;16.12.2019 0:00:00;1;0;108003;108316;108594;108600
16;16.12.2019 0:00:00;1;0;108350;109242;108566;109617
17;16.12.2019 0:00:00;1;0;107975;109079;108551;109360
18;16.12.2019 0:00:00;1;0;106502;107391;107686;107833
19;16.12.2019 0:00:00;1;0;104824;105223;105206;105204
20;16.12.2019 0:00:00;1;0;102367;103014;103175;103000
21;16.12.2019 0:00:00;1;0;99437;99736;102097;101796
22;16.12.2019 0:00:00;1;0;95169;95640;97628;97869
23;16.12.2019 0:00:00;1;0;91276;91600;93488;93741
0;17.12.2019 0:00:00;1;0;89100;89272;91291;91728
1;17.12.2019 0:00:00;1;0;87901;87960;90746;90828
2;17.12.2019 0:00:00;1;0;87151;87317;90447;90378
3;17.12.2019 0:00:00;1;0;87902;88005;90973;90848
4;17.12.2019 0:00:00;1;0;89642;90021;92583;92635
5;17.12.2019 0:00:00;1;0;93658;94275;96414;96699
6;17.12.2019 0:00:00;1;0;99778;99743;101819;101841
7;17.12.2019 0:00:00;1;0;103255;103922;103999;103830
8;17.12.2019 0:00:00;1;0;106317;106813;106709;106643
9;17.12.2019 0:00:00;1;0;106440;107222;107377;107584
10;17.12.2019 0:00:00;1;0;105776;106690;106665;107135
11;17.12.2019 0:00:00;1;0;104342;105425;105506;105660
12;17.12.2019 0:00:00;1;0;104280;105505;106881;107450
13;17.12.2019 0:00:00;1;0;104532;105210;106494;107148
14;17.12.2019 0:00:00;1;0;104792;105312;105962;105661
15;17.12.2019 0:00:00;1;0;106352;106680;106940;106611
16;17.12.2019 0:00:00;1;0;107374;108183;108351;108183
17;17.12.2019 0:00:00;1;0;106616;107490;107499;107506
18;17.12.2019 0:00:00;1;0;105889;106416;106119;106176
19;17.12.2019 0:00:00;1;0;103693;104413;103494;104328
20;17.12.2019 0:00:00;1;0;101586;102068;101962;101943
21;17.12.2019 0:00:00;1;0;98495;98961;100423;100753
22;17.12.2019 0:00:00;1;0;94363;94780;96218;96503
23;17.12.2019 0:00:00;1;0;90083;91010;91849;92582
0;18.12.2019 0:00:00;1;0;88224;88655;90880;91334
1;18.12.2019 0:00:00;1;0;86623;86956;89586;89907
2;18.12.2019 0:00:00;1;0;86225;86388;89404;89579
3;18.12.2019 0:00:00;1;0;86882;86865;90138;89882
4;18.12.2019 0:00:00;1;0;88951;89109;92439;92013
5;18.12.2019 0:00:00;1;0;93327;93588;96578;96115
6;18.12.2019 0:00:00;1;0;99094;99463;101281;101175
7;18.12.2019 0:00:00;1;0;102823;103476;103475;103688
8;18.12.2019 0:00:00;1;0;105599;106429;106005;106709
9;18.12.2019 0:00:00;1;0;105774;106805;106492;107106
10;18.12.2019 0:00:00;1;0;105696;106081;106146;106338
11;18.12.2019 0:00:00;1;0;105018;104901;105853;105208
12;18.12.2019 0:00:00;1;0;104809;105120;107424;107158
13;18.12.2019 0:00:00;1;0;104971;105278;106898;107208
14;18.12.2019 0:00:00;1;0;105312;105786;105888;106159
15;18.12.2019 0:00:00;1;0;106357;107184;107179;107266
16;18.12.2019 0:00:00;1;0;107296;107937;107711;108103
17;18.12.2019 0:00:00;1;0;106493;107517;107312;107636
18;18.12.2019 0:00:00;1;0;105392;106217;105759;106505
19;18.12.2019 0:00:00;1;0;103696;104118;103851;104392
20;18.12.2019 0:00:00;1;0;101433;101678;102516;102008
21;18.12.2019 0:00:00;1;0;98548;98933;101102;101358
22;18.12.2019 0:00:00;1;0;94110;94309;96604;97294
23;18.12.2019 0:00:00;1;0;90469;90938;93278;93681
0;19.12.2019 0:00:00;1;0;87397;88373;90007;91126
1;19.12.2019 0:00:00;1;0;86194;86977;89209;90026
2;19.12.2019 0:00:00;1;0;85676;86202;89045;89516
3;19.12.2019 0:00:00;1;0;86786;86891;89982;90011
4;19.12.2019 0:00:00;1;0;88634;88959;92413;92206
5;19.12.2019 0:00:00;1;0;92594;93205;96637;95835
6;19.12.2019 0:00:00;1;0;97938;98915;99697;100765
7;19.12.2019 0:00:00;1;0;102292;102965;103259;103192
8;19.12.2019 0:00:00;1;0;104558;105275;105348;105751
9;19.12.2019 0:00:00;1;0;104899;105956;106105;106426
10;19.12.2019 0:00:00;1;0;104646;105288;105267;105712
11;19.12.2019 0:00:00;1;0;103809;104171;104684;104793
12;19.12.2019 0:00:00;1;0;104013;104029;107115;106450
13;19.12.2019 0:00:00;1;0;104466;104799;106574;106882
14;19.12.2019 0:00:00;1;0;104316;104910;105565;105541
15;19.12.2019 0:00:00;1;0;105756;106225;106554;106470
16;19.12.2019 0:00:00;1;0;106772;107420;107493;107737
